OBJECTID,x,y
0,103.654398,36.0866635
1,103.6810588,36.0866635
2,103.7077196,36.0866635
3,103.7343804,36.0866635
4,103.76104120000001,36.0866635
5,103.787702,36.0866635
6,103.8143628,36.0866635
7,103.8410236,36.0866635
8,103.8676844,36.0866635
9,103.8943452,36.0866635
10,103.921006,36.0866635
11,103.654398,36.069073
12,103.6810588,36.069073
13,103.7077196,36.069073
14,103.7343804,36.069073
15,103.76104120000001,36.069073
16,103.787702,36.069073
17,103.8143628,36.069073
18,103.8410236,36.069073
19,103.8676844,36.069073
20,103.8943452,36.069073
21,103.921006,36.069073
22,103.654398,36.0514825
23,103.6810588,36.0514825
24,103.7077196,36.0514825
25,103.7343804,36.0514825
26,103.76104120000001,36.0514825
27,103.787702,36.0514825
28,103.8143628,36.0514825
29,103.8410236,36.0514825
30,103.8676844,36.0514825
31,103.8943452,36.0514825
32,103.921006,36.0514825
33,103.654398,36.033892
34,103.6810588,36.033892
35,103.7077196,36.033892
36,103.7343804,36.033892
37,103.76104120000001,36.033892
38,103.787702,36.033892
39,103.8143628,36.033892
40,103.8410236,36.033892
41,103.8676844,36.033892
42,103.8943452,36.033892
43,103.921006,36.033892
44,103.654398,36.016301500000004
45,103.6810588,36.016301500000004
46,103.7077196,36.016301500000004
47,103.7343804,36.016301500000004
48,103.76104120000001,36.016301500000004
49,103.787702,36.016301500000004
50,103.8143628,36.016301500000004
51,103.8410236,36.016301500000004
52,103.8676844,36.016301500000004
53,103.8943452,36.016301500000004
54,103.921006,36.016301500000004
55,103.654398,36.104254
56,103.6810588,36.104254
57,103.7077196,36.104254
58,103.7343804,36.104254
59,103.76104120000001,36.104254
60,103.787702,36.104254
61,103.8143628,36.104254
62,103.8410236,36.104254
63,103.8676844,36.104254
64,103.8943452,36.104254
65,103.921006,36.104254
66,103.654398,36.033892
67,103.6810588,36.033892
68,103.7077196,36.033892
69,103.7343804,36.033892
70,103.76104120000001,36.033892
71,103.787702,36.033892
72,103.8143628,36.033892
73,103.8410236,36.033892
74,103.8676844,36.033892
75,103.8943452,36.033892
76,103.921006,36.033892
